Rank,District,State,Latitude,Longitude,Avg_Annual_Rainfall_mm,Elevation_m,Avg_Slope_Degrees
1,Rudraprayag,Uttaranchal,30.4915835,79.0366067,2299.9,2235.0,13.3
2,Tehri Garhwal,Uttaranchal,30.4658181,78.4837349,1508.1,1699.0,14.49
3,Thrissur,Kerala,10.4786969,76.2736512,3302.3,12.0,0.68
4,Rajouri,J&K,,,,,
5,Palakkad,Kerala,10.7873692,76.4742172,2746.4,83.0,0.21
6,Poonch,J&K,,,,,
7,Malappuram,Kerala,11.1065685,76.1101742,3401.5,47.0,1.03
8,South District,Sikkim,27.333333,88.416667,5601.7,2442.0,30.62
9,East District,Sikkim,27.5858069,88.1101127,1422.6,5374.0,29.61
10,Kozhikode,Kerala,11.4655936,75.89194,4254.4,63.0,0.42
11,Imphal West,Manipur,24.7590802,93.8617365,1608.8,775.0,0.04
12,Kodagu,Karnataka,12.3827332,75.6640715,2563.0,908.0,0.92
13,Wayanad,Kerala,11.7151291,76.1271185,1877.3,753.0,0.75
14,Jammu,J&K,,,,,
15,Ernakulam,Kerala,10.0383947,76.5074145,3761.4,29.0,0.11
16,Mandi,Himachal Pradesh,31.6516617,77.0092542,1388.6,1538.0,4.45
17,Udhampur,J&K,,,,,
18,Idukki,Kerala,9.8154785,76.9991599,3822.0,723.0,1.51
19,Chamoli,Uttaranchal,30.4985956,79.6190537,1509.6,1851.0,7.2
20,West District,Sikkim,27.9820852,88.6848163,788.0,6547.0,5.66
21,Uttarkashi,Uttaranchal,30.9635733,78.6362521,1556.0,4618.0,9.04
22,Cachar,Assam,24.75864,92.8816648,2855.3,28.0,0.16
23,Garhwal,Uttaranchal,30.25,79.333333,1696.0,2250.0,7.78
24,Kottayam,Kerala,9.6287383,76.6455326,3569.9,46.0,1.15
25,Hamirpur,Himachal Pradesh,31.6539866,76.5403633,1073.2,752.0,1.85
26,Kannur,Kerala,11.9863343,75.5479704,3447.8,7.0,0.9
27,Pulwama,J&K,,,,,
28,Thiruvananthapuram,Kerala,8.5769705,77.0501246,3038.5,83.0,1.37
29,Dehra Dun,Uttaranchal,30.416667,77.933333,1429.2,735.0,2.87
30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,1042.0,572.0,7.72
31,West Garo Hills,Meghalaya,25.6065343,90.2038335,2247.0,356.0,0.65
32,Chamba,Himachal Pradesh,32.6923316,76.1631552,1189.8,2412.0,16.03
33,Pathanamthitta,Kerala,9.2780841,76.9737443,4335.6,471.0,6.83
34,East Khasi Hills,Meghalaya,25.4023736,91.8317178,2907.9,1730.0,18.46
35,Darjiling,West Bengal,26.75,88.25,2886.9,194.0,0.65
36,Coimbatore,Tamil Nadu,10.8124445,77.0796084,1218.3,336.0,0.92
37,Solan,Himachal Pradesh,31.0568119,76.850301,1115.2,897.0,7.53
38,Aizawl,Mizoram,23.8608788,92.864694,1845.7,489.0,11.03
39,Lunglei,Mizoram,22.9519972,92.6338827,2353.3,312.0,7.36
40,Kamrup,Assam,26.1468861,91.2227397,2804.0,42.0,0.13
41,Dindigul,Tamil Nadu,10.4257161,77.8154728,1246.2,304.0,0.38
42,Kathua,J&K,,,,,
43,Kanniyakumari,Tamil Nadu,8.3279814,77.3541173,2195.2,258.0,7.26
44,Kasaragod,Kerala,12.4221964,75.1904446,3935.6,89.0,3.0
45,Lawngtlai,Mizoram,22.3913377,92.7397189,2326.9,348.0,1.24
46,Kinnaur,Himachal Pradesh,31.593013,78.3281417,796.6,2984.0,31.45
47,Hailakandi,Assam,24.5076094,92.6267589,2541.6,40.0,0.94
48,Kollam,Kerala,8.9674039,76.8585783,2730.0,102.0,1.78
49,Goalpara,Assam,26.0491877,90.6001859,3055.8,47.0,0.09
50,Bageshwar,Uttaranchal,30.0087902,79.9280183,1774.2,1785.0,12.59
51,North District,Sikkim,27.666667,88.5,3529.2,4276.0,14.12
52,Anantnag,J&K,,,,,
53,Hassan,Karnataka,13.0301852,76.1744968,1152.6,979.0,0.64
54,Dakshina Kannada,Karnataka,12.8226434,75.2265036,3495.3,84.0,0.45
55,Karbi Anglong,Assam,26.0712781,93.4552969,2681.5,788.0,6.07
56,Lohit,Arunachal Pradesh,28.0350162,96.1713515,3743.5,584.0,7.0
57,Kullu,Himachal Pradesh,31.8778325,77.4495659,1416.9,3634.0,15.52
58,Baramulla,J&K,,,,,
59,Theni,Tamil Nadu,9.8692558,77.4222974,1060.8,386.0,1.26
60,Kolasib,Mizoram,24.1905469,92.7136595,1978.4,272.0,11.01
61,Shimla,Himachal Pradesh,31.2387672,77.7185684,1411.2,2012.0,9.01
62,Kangra,Himachal Pradesh,32.0768665,76.2985872,1368.3,779.0,0.85
63,Churachandpur,Manipur,24.3095833,93.675022,1363.6,865.0,1.13
64,East Garo Hills,Meghalaya,25.6184946,90.6342162,1952.8,462.0,2.63
65,Champawat,Uttaranchal,29.235032,80.1023068,2437.8,1041.0,11.47
66,West Khasi Hills,Meghalaya,25.5814429,91.0851094,2598.4,954.0,0.5
67,Ribhoi,Meghalaya,25.723641,92.0426339,2571.9,879.0,1.67
68,Naini Tal,Uttaranchal,29.344312,79.4825416,1666.5,1232.0,9.24
69,Jaintia Hills,Meghalaya,25.5,92.25,2151.7,1295.0,1.33
70,Una,Himachal Pradesh,31.5834642,76.2351452,1171.5,473.0,1.74
71,Mamit,Mizoram,23.7564387,92.4515374,1790.6,287.0,6.05
72,Tirunelveli,Tamil Nadu,8.5495014,77.5805178,1327.2,113.0,0.38
73,Papum Pare,Arunachal Pradesh,27.2863667,93.6187716,3598.7,1336.0,7.53
74,Tawang,Arunachal Pradesh,27.6689525,91.9860059,1349.0,3761.0,18.41
75,West Tripura,Tripura,23.9153329,91.3879341,1935.4,42.0,0.31
76,North Tripura,Tripura,24.0921476,92.2451214,1929.5,99.0,0.7
77,Udupi,Karnataka,13.5269784,74.8731879,3304.7,36.0,0.41
78,East Siang,Arunachal Pradesh,28.0742219,95.4178149,3653.2,151.0,0.86
79,Doda,J&K,,,,,
80,Thane,Maharashtra,19.3653598,73.3685437,2044.8,110.0,0.34
81,Almora,Uttaranchal,29.702651,79.4326318,1421.1,1130.0,4.47
82,Serchhip,Mizoram,23.3052514,92.8455124,2202.3,1139.0,10.76
83,North Cachar Hills,Assam,25.5,93.0,1680.7,222.0,3.09
84,Lower Subansiri,Arunachal Pradesh,27.6059753,93.8669707,4879.9,1730.0,7.37
85,The Nilgiris,Tamil Nadu,11.4,76.7,1849.3,2232.0,3.98
86,Pithoragarh,Uttaranchal,30.1264975,80.4816989,1784.1,5338.0,5.66
87,West Kameng,Arunachal Pradesh,27.2986936,92.4741211,4042.3,2009.0,19.28
88,Sirmaur,Himachal Pradesh,30.6991321,77.4465304,1627.3,1640.0,3.31
89,Phek,Nagaland,25.6700924,94.3843925,2235.9,1521.0,14.46
90,South Garo Hills,Meghalaya,25.347969,90.5657773,3057.4,114.0,4.05
91,Changlang,Arunachal Pradesh,27.2698797,96.0602442,2791.5,517.0,3.7
92,Chikmagalur,Karnataka,13.3245255,75.7722995,1477.9,1043.0,0.61
93,Mon,Nagaland,26.666667,95.0,2673.7,1024.0,6.22
94,Tuensang,Nagaland,26.2342107,94.741553,2556.6,2061.0,1.12
95,Bongaigaon,Assam,26.348883,90.6291434,3753.4,44.0,0.05
96,Lower Dibang Valley,Arunachal Pradesh,28.2149563,95.878774,5772.5,1269.0,10.99
97,Senapati,Manipur,25.3933697,94.1501773,1870.5,1189.0,4.34
98,Srinagar,J&K,,,,,
99,Morigaon,Assam,26.2540561,92.3604704,2562.8,62.0,0.14
100,Tamenglong,Manipur,25.0648711,93.5465432,2606.0,1044.0,8.0
101,East Kameng,Arunachal Pradesh,27.557781,93.0753012,3389.1,1670.0,16.0
102,Saiha,Mizoram,22.2876724,93.01336,2737.7,946.0,4.17
103,Shimoga,Karnataka,14.0556503,75.2380553,1743.0,631.0,0.15
104,Upper Siang,Arunachal Pradesh,28.7312046,95.0377315,4547.6,2254.0,20.02
105,Mokokchung,Nagaland,26.4795861,94.5105275,2835.1,285.0,2.95
106,Kohima,Nagaland,25.7169804,94.0982194,4235.6,1340.0,3.37
107,Pune,Maharashtra,18.6448627,73.9224157,958.5,566.0,1.17
108,West Siang,Arunachal Pradesh,28.1970922,94.48407,6456.5,2170.0,17.91
109,Raygarh,Maharashtra,,,,,
110,Dhalai,Tripura,23.8253158,91.9732227,1849.4,122.0,1.35
111,North Goa,Goa,15.6038925,73.9967006,2912.7,46.0,1.56
112,Ukhrul,Manipur,25.3121261,94.4754982,1580.5,1672.0,16.36
113,Kurung Kumey,Arunachal Pradesh,27.9863677,93.1578347,4308.0,1912.0,19.62
114,Sindhudurg,Maharashtra,16.1357193,73.6522086,3005.5,189.0,1.29
115,Tirap,Arunachal Pradesh,27.030169,95.4979175,2632.8,567.0,5.64
116,Uttara Kannada,Karnataka,14.7253795,74.6403389,2345.8,559.0,0.3
117,Nagaon,Assam,26.3313646,92.7524763,2615.9,65.0,0.23
118,Champhai,Mizoram,23.5443743,93.3479506,1612.9,1520.0,7.4
119,Budgam,J&K,,,,,
120,Upper Subansiri,Arunachal Pradesh,28.2596054,94.0938106,3836.5,1218.0,21.45
121,South Goa,Goa,15.3376121,73.9937035,3344.7,19.0,0.76
122,Chandel,Manipur,24.1700959,94.0059673,1826.0,1399.0,7.26
123,Kargil,J&K,,,,,
124,Haveri,Karnataka,14.7180268,75.3656423,1094.7,581.0,0.45
125,Anjaw,Arunachal Pradesh,28.1553856,96.8407212,3688.9,4005.0,6.35
126,Lahul & Spiti,Himachal Pradesh,,,,,
127,Dhubri,Assam,26.132275,90.1249962,3372.3,30.0,0.06
128,Nashik,Maharashtra,20.2254559,74.104233,908.5,646.0,0.7
129,Ratnagiri,Maharashtra,17.2826079,73.4569787,2625.6,186.0,1.96
130,South Tripura,Tripura,23.1708278,91.638817,2035.1,42.0,0.61
131,Ahmadnagar,Maharashtra,19.074352,74.7219979,961.0,651.0,0.45
132,Kupwara,J&K,,,,,
133,Kolhapur,Maharashtra,16.4626695,74.0894749,1784.8,673.0,7.0
134,Satara,Maharashtra,17.6361289,74.2982781,975.1,848.0,1.33
135,Dibang Valley,Arunachal Pradesh,28.8291044,95.9554096,4242.4,1444.0,2.25
136,Leh-Ladakh,J&K,,,,,
137,Karimganj,Assam,24.5828196,92.3725487,2596.0,75.0,0.6
138,Alappuzha,Kerala,9.5003416,76.4123364,3349.8,1.0,0.06
139,Mumbai Suburban,Maharashtra,19.1309844,72.8894618,1962.9,22.0,0.59
140,Mumbai,Maharashtra,18.9327713,72.8370823,2240.4,14.0,0.41
141,Thoubal,Manipur,24.6203931,94.0104782,1334.2,779.0,0.06
142,Imphal East,Manipur,24.8326698,94.0168859,1421.9,787.0,0.81
143,Bishnupur,Manipur,24.5263926,93.800487,1459.5,768.0,0.0
144,Zunheboto,Nagaland,26.0123803,94.5123719,2235.5,1566.0,10.58
145,Wokha,Nagaland,26.242251,94.1921153,2037.5,299.0,2.53
146,Haridwar,Uttaranchal,29.9123514,78.0087178,1000.6,265.0,0.15
147,Udham Singh Nagar,Uttaranchal,29.0478314,79.4326164,1311.2,232.0,0.33
